name,0,1,2,3,4,5,6,7,8,9,Mean_pk,Std_pk
conv_re_conv_se_add_0.3,0.33,0.354,0.41,0.379,0.419,0.316,0.38299999999999995,0.49700000000000005,0.39899999999999997,0.34600000000000003,0.3833,0.049799698794269834
rico_seq2seq_add_0.4,0.386,0.391,0.45,0.39399999999999996,0.377,0.363,0.4,0.396,0.39399999999999996,0.376,0.39269999999999994,0.021922819161777532
rico_transformer_add_0.4,0.47700000000000004,0.381,0.39399999999999996,0.433,0.39899999999999997,0.39299999999999996,0.376,0.447,0.47100000000000003,0.47100000000000003,0.4242,0.038046813269970475
rico_transformer_mean_add_0.4,0.396,0.414,0.456,0.46,0.486,0.457,0.429,0.467,0.473,0.461,0.44989999999999997,0.026594924327773523
conv_re_conv_se_add_0.4,0.384,0.353,0.376,0.34700000000000003,0.369,0.26,0.369,0.473,0.33899999999999997,0.40700000000000003,0.3677,0.05102754158295302
rico_seq2seq_add_0.5,0.419,0.364,0.39299999999999996,0.373,0.433,0.387,0.33299999999999996,0.363,0.45899999999999996,0.406,0.393,0.035465476170495724
rico_transformer_add_0.5,0.406,0.364,0.41700000000000004,0.456,0.40700000000000003,0.469,0.467,0.501,0.446,0.42,0.43529999999999996,0.03783133621747981
rico_transformer_mean_add_0.5,0.456,0.479,0.47,0.491,0.414,0.366,0.451,0.5,0.41600000000000004,0.46,0.45030000000000003,0.03881507439127226
conv_re_conv_se_add_0.5,0.387,0.27899999999999997,0.4,0.353,0.341,0.256,0.33299999999999996,0.379,0.359,0.32899999999999996,0.3416,0.04333866633850193
rico_seq2seq_add_0.6,0.439,0.38,0.42,0.379,0.423,0.33899999999999997,0.363,0.424,0.47600000000000003,0.47,0.41129999999999994,0.04284401941928419
rico_transformer_add_0.6,0.434,0.377,0.43,0.461,0.446,0.371,0.431,0.40700000000000003,0.41700000000000004,0.451,0.4225,0.028461377338421277
rico_transformer_mean_add_0.6,0.48100000000000004,0.34600000000000003,0.451,0.391,0.451,0.409,0.42700000000000005,0.38299999999999995,0.483,0.466,0.4288,0.04337003573897537
conv_re_conv_se_add_0.6,0.336,0.20600000000000002,0.344,0.28,0.29600000000000004,0.261,0.27399999999999997,0.331,0.34,0.273,0.2941,0.04197963792125892
rico_seq2seq_add_0.7,0.45299999999999996,0.46299999999999997,0.363,0.446,0.40399999999999997,0.377,0.42100000000000004,0.42700000000000005,0.489,0.439,0.4282,0.036698228840095264
rico_transformer_add_0.7,0.457,0.374,0.4,0.44,0.47100000000000003,0.47,0.39399999999999996,0.45299999999999996,0.45299999999999996,0.423,0.4335,0.032290091359424795
rico_transformer_mean_add_0.7,0.423,0.39299999999999996,0.42700000000000005,0.434,0.469,0.377,0.413,0.419,0.426,0.406,0.41869999999999996,0.023448027635602955
conv_re_conv_se_add_0.7,0.327,0.221,0.33,0.254,0.27699999999999997,0.22,0.304,0.361,0.321,0.293,0.29080000000000006,0.04505063817528005
rico_seq2seq_add_0.8,0.40700000000000003,0.451,0.414,0.4,0.43700000000000006,0.45899999999999996,0.46299999999999997,0.48700000000000004,0.45299999999999996,0.519,0.449,0.03491990836184998
rico_transformer_add_0.8,0.39,0.396,0.369,0.387,0.43,0.436,0.389,0.377,0.327,0.35100000000000003,0.38519999999999993,0.031034819155264938
rico_transformer_mean_add_0.8,0.35,0.424,0.387,0.354,0.331,0.371,0.366,0.379,0.319,0.413,0.3694,0.031506189868024344
