name,0,1,2,3,4,5,6,7,8,9,Mean_ak,Std_ak
seq2seq_conv_se_add_0.3,0.313,0.338,0.333,0.271,0.303,0.325,0.358,0.343,0.328,0.355,0.32669999999999993,0.024637572932413608
seq2seq_conv_se_cat_0.3,0.356,0.337,0.309,0.264,0.351,0.341,0.358,0.343,0.327,0.339,0.33249999999999996,0.026579127148949038
tree_conv_se_add_0.3,0.357,0.308,0.307,0.274,0.32,0.341,0.356,0.345,0.276,0.365,0.32489999999999997,0.031433898899118434
tree_conv_se_cat_0.3,0.356,0.337,0.309,0.264,0.32,0.341,0.358,0.343,0.327,0.339,0.3294,0.026043041297052844
rico_conv_se_add_0.4,0.326,0.337,0.309,0.264,0.354,0.341,0.358,0.343,0.368,0.345,0.33449999999999996,0.028246238687655384
rico_conv_se_cat_0.4,0.356,0.337,0.309,0.264,0.353,0.341,0.358,0.343,0.327,0.339,0.3327,0.026724707669121463
seq2seq_conv_se_add_0.4,0.351,0.338,0.333,0.271,0.295,0.313,0.36,0.323,0.328,0.355,0.3267,0.02641609357948294
seq2seq_conv_se_cat_0.4,0.356,0.337,0.309,0.264,0.32,0.341,0.358,0.343,0.327,0.354,0.3309,0.026968314741562915
tree_conv_se_add_0.4,0.302,0.308,0.307,0.221,0.29,0.319,0.335,0.345,0.276,0.36,0.3063,0.03721303535053275
tree_conv_se_cat_0.4,0.356,0.337,0.309,0.264,0.32,0.341,0.358,0.343,0.327,0.339,0.3294,0.026043041297052844
rico_conv_se_add_0.5,0.326,0.337,0.309,0.264,0.316,0.319,0.359,0.343,0.368,0.357,0.3298,0.028916431315084503
rico_conv_se_cat_0.5,0.356,0.337,0.309,0.264,0.32,0.341,0.358,0.343,0.327,0.339,0.3294,0.026043041297052844
seq2seq_conv_se_add_0.5,0.369,0.321,0.294,0.283,0.316,0.313,0.36,0.323,0.328,0.355,0.32619999999999993,0.026505848411246907
seq2seq_conv_se_cat_0.5,0.356,0.343,0.309,0.264,0.32,0.341,0.358,0.345,0.32,0.354,0.331,0.02745541840875858
